                 GoT character | # | Like 'Adrack Humble'
                     'Old Man' | 8 | 33.3% (8)

                 GoT character | # | Like 'Emmon Cuy'
                  'Bolton Son' | 1 | 30.0% (7)
                       'Bronn' | 2 | 22.2% (7)
                       'Dongo' | 3 | 22.2% (7)
                       'Gordy' | 4 | 22.2% (7)
                      'Guymon' | 5 | 22.2% (7)
                    'Jon Snow' | 6 | 22.2% (7)
                       'Qhono' | 7 | 22.2% (7)
                      'Ramsay' | 8 | 22.2% (7)

                 GoT character | # | Like 'Euron Greyjoy'
               'Theon Greyjoy' | 1 | 76.9% (3)
          'Lord Theon Greyjoy' | 2 | 61.1% (7)
                   'Emmon Cuy' | 3 | 38.5% (8)
          'King Balon Greyjoy' | 4 | 55.6% (8)
                 'Brother Ray' | 5 | 30.8% (9)
                    'Jon Snow' | 6 | 30.8% (9)
                 'Meryn Trant' | 7 | 30.8% (9)
                  'Bernadette' | 8 | 23.1% (10)

                 GoT character | # | Like 'First Builder Othell Yarwyck'
   'First Steward Bowen Marsh' | 1 | 39.3% (17)
            'Lord Walder Frey' | 2 | 32.1% (19)
           'Ser Brynden Tully' | 3 | 32.1% (19)
        'Ser Hugh of the Vale' | 4 | 32.1% (19)
      'Ser Osmund Kettleblack' | 5 | 32.1% (19)
         'Black Walder Rivers' | 6 | 28.6% (20)
                 'Brother Ray' | 7 | 28.6% (20)
                'Hoster Tully' | 8 | 28.6% (20)

                 GoT character | # | Like 'First Steward Bowen Marsh'
        'Four Stark Bannermen' | 1 | 36.0% (16)
       'Lord Eddard Ned Stark' | 2 | 36.0% (16)
'First Builder Othell Yarwyck' | 3 | 39.3% (17)
       'Lord Rickard Karstark' | 4 | 32.0% (17)
            'Ser Mandon Moore' | 5 | 32.0% (17)
              'Stark Soldiers' | 6 | 32.0% (17)
               'Jafer Flowers' | 7 | 28.0% (18)
          'Lannister Soldiers' | 8 | 28.0% (18)

                 GoT character | # | Like 'Four Stark Bannermen'
                 'Karl Tanner' | 1 | 40.0% (12)
        'Lord Tywin Lannister' | 2 | 35.0% (13)
            'Martyn Lannister' | 3 | 35.0% (13)
               'Podrick Payne' | 4 | 35.0% (13)
                   'Rob Stark' | 5 | 35.0% (13)
                  'Robb Stark' | 6 | 35.0% (13)
         'Ser Alton Lannister' | 7 | 35.0% (13)
         'Ser Kevan Lannister' | 8 | 35.0% (13)

                 GoT character | # | Like 'Gared'
                        'Gren' | 1 | 60.0% (2)
                       'Barra' | 2 | 40.0% (3)
                       'Gordy' | 3 | 40.0% (3)
                       'Grenn' | 4 | 40.0% (3)
                      'Harker' | 5 | 50.0% (3)
                       'Jaqen' | 6 | 40.0% (3)
                       'Karsi' | 7 | 40.0% (3)
                       'Varly' | 8 | 40.0% (3)

                 GoT character | # | Like 'Gatins'
                       'Gared' | 1 | 33.3% (4)
                       'Ghita' | 2 | 33.3% (4)
                        'Gren' | 3 | 33.3% (4)
                       'Grenn' | 4 | 33.3% (4)
                       'Jaqen' | 5 | 33.3% (4)
                        'Stiv' | 6 | 33.3% (4)
                       'Tansy' | 7 | 33.3% (4)
                      'Bannen' | 8 | 16.7% (5)

                 GoT character | # | Like 'Ghita'
                       'Ghost' | 1 | 40.0% (3)
                       'Barra' | 2 | 20.0% (4)
                       'Biter' | 3 | 20.0% (4)
                       'Borba' | 4 | 20.0% (4)
                       'Gared' | 5 | 20.0% (4)
                      'Gatins' | 6 | 33.3% (4)
                       'Gordy' | 7 | 20.0% (4)
                        'Gren' | 8 | 20.0% (4)

                 GoT character | # | Like 'Ghost'
                       'Ghita' | 1 | 40.0% (3)
