                 GoT character | # | Like 'Adrack Humble'
                  'Bran Stark' | 8 | 26.7% (11)

                 GoT character | # | Like 'Qotho'
                        'Akho' | 1 | 40.0% (3)
                       'Dongo' | 2 | 40.0% (3)
                       'Othor' | 3 | 40.0% (3)
                       'Qhono' | 4 | 40.0% (3)
                       'Biter' | 5 | 20.0% (4)
                       'Borba' | 6 | 20.0% (4)
                       'Gordy' | 7 | 20.0% (4)
                       'Hodor' | 8 | 20.0% (4)

                 GoT character | # | Like 'Queen Cersei Lannister'
         'Ser Kevan Lannister' | 1 | 59.1% (9)
        'Ser Lancel Lannister' | 2 | 59.1% (9)
            'Lancel Lannister' | 3 | 54.5% (10)
         'Ser Alton Lannister' | 4 | 54.5% (10)
             'Jaime Lannister' | 5 | 50.0% (11)
        'Lord Tywin Lannister' | 6 | 50.0% (11)
            'Martyn Lannister' | 7 | 50.0% (11)
          'Stafford Lannister' | 8 | 50.0% (11)

                 GoT character | # | Like 'Queen Daenerys Targaryen'
          'Daenerys Targaryen' | 1 | 75.0% (6)
        'King Aerys Targaryen' | 2 | 62.5% (9)
    'Prince Viserys Targaryen' | 3 | 58.3% (10)
      'Queen Selyse Baratheon' | 4 | 54.2% (11)
       'Queen Margaery Tyrell' | 5 | 50.0% (12)
      'Queen Cersei Lannister' | 6 | 41.7% (14)
          'Queen Talisa Stark' | 7 | 41.7% (14)
        'King Renly Baratheon' | 8 | 37.5% (15)

                 GoT character | # | Like 'Queen Margaery Tyrell'
            'Lord Mace Tyrell' | 1 | 52.4% (10)
            'Ser Loras Tyrell' | 2 | 52.4% (10)
               'Olenna Tyrell' | 3 | 47.6% (11)
       'Grand Maester Pycelle' | 4 | 42.9% (12)
    'Queen Daenerys Targaryen' | 5 | 50.0% (12)
          'Lady Olenna Tyrell' | 6 | 38.1% (13)
          'Queen Talisa Stark' | 7 | 38.1% (13)
             'Ser Meryn Trant' | 8 | 38.1% (13)

                 GoT character | # | Like 'Queen Selyse Baratheon'
        'King Renly Baratheon' | 1 | 59.1% (9)
           'Joffrey Baratheon' | 2 | 54.5% (10)
           'Stannis Baratheon' | 3 | 54.5% (10)
      'King Joffrey Baratheon' | 4 | 50.0% (11)
       'King Robert Baratheon' | 5 | 50.0% (11)
      'King Stannis Baratheon' | 6 | 50.0% (11)
       'King Tommen Baratheon' | 7 | 50.0% (11)
    'Queen Daenerys Targaryen' | 8 | 54.2% (11)

                 GoT character | # | Like 'Queen Talisa Stark'
                 'Sansa Stark' | 1 | 50.0% (9)
                'Benjen Stark' | 2 | 44.4% (10)
               'Catelyn Stark' | 3 | 44.4% (10)
           'Lady Lyanna Stark' | 4 | 44.4% (10)
                  'Arya Stark' | 5 | 38.9% (11)
                  'Bran Stark' | 6 | 38.9% (11)
             'King Robb Stark' | 7 | 38.9% (11)
          'Lady Catelyn Stark' | 8 | 38.9% (11)

                 GoT character | # | Like 'Qyburn'
                       'Pypar' | 1 | 33.3% (4)
                      'Bannen' | 2 | 16.7% (5)
                       'Barra' | 3 | 16.7% (5)
                       'Biter' | 4 | 16.7% (5)
                       'Bronn' | 5 | 16.7% (5)
                      'Drogon' | 6 | 16.7% (5)
                        'Gren' | 7 | 16.7% (5)
                       'Grenn' | 8 | 16.7% (5)

                 GoT character | # | Like 'Rakharo'
                        'Akho' | 1 | 42.9% (4)
                      'Ramsay' | 2 | 42.9% (4)
                      'Rhaego' | 3 | 42.9% (4)
                       'Barra' | 4 | 28.6% (5)
                      'Dagmer' | 5 | 28.6% (5)
                      'Harker' | 6 | 28.6% (5)
                      'Heward' | 7 | 28.6% (5)
                        'Mago' | 8 | 28.6% (5)

                 GoT character | # | Like 'Ralf Kenning'
                     'Rennick' | 1 | 41.7% (7)
                      'Bannen' | 2 | 33.3% (8)
                     'Drennan' | 3 | 33.3% (8)
                 'Karl Tanner' | 4 | 33.3% (8)
                 'Lady Cerwyn' | 5 | 33.3% (8)
                  'Night King' | 6 | 33.3% (8)
                      'Wallen' | 7 | 33.3% (8)
                     'Brienne' | 8 | 25.0% (9)

                 GoT character | # | Like 'Ramsay'
                        'Rast' | 1 | 50.0% (3)
                       'Tansy' | 2 | 50.0% (3)
                       'Barra' | 3 | 33.3% (4)
                       'Karsi' | 4 | 33.3% (4)
                        'Lady' | 5 | 33.3% (4)
                     'Rakharo' | 6 | 42.9% (4)
                     'Rhaegal' | 7 | 42.9% (4)
                         'Ros' | 8 | 33.3% (4)

                 GoT character | # | Like 'Ramsay Bolton'
                'Roose Bolton' | 1 | 69.2% (4)
          'Lord Ramsay Bolton' | 2 | 72.2% (5)
                      'Ramsay' | 3 | 46.2% (7)
           'Lady Walda Bolton' | 4 | 52.9% (8)
                'Master Eaton' | 5 | 38.5% (8)
                  'Amory Loch' | 6 | 30.8% (9)
               'Jorah Mormont' | 7 | 30.8% (9)
                 'Khal Brozho' | 8 | 30.8% (9)

                 GoT character | # | Like 'Rast'
                         'Ros' | 1 | 50.0% (2)
                       'Ghost' | 2 | 40.0% (3)
                        'Jack' | 3 | 25.0% (3)
                       'Karsi' | 4 | 40.0% (3)
                        'Lady' | 5 | 25.0% (3)
                        'Mago' | 6 | 25.0% (3)
                      'Ramsay' | 7 | 50.0% (3)
                       'Tansy' | 8 | 40.0% (3)

                 GoT character | # | Like 'Razdal mo Eraz'
            'Hizdahr zo Loraq' | 1 | 50.0% (8)
                   'Khal Moro' | 2 | 35.7% (9)
                  'Khal Qorro' | 3 | 35.7% (9)
               'Oznak zo Pahl' | 4 | 35.7% (9)
               'Ramsay Bolton' | 5 | 35.7% (9)
                 'Khal Forzho' | 6 | 28.6% (10)
           'Kraznys mo Nakloz' | 7 | 41.2% (10)
                  'Lady Crane' | 8 | 28.6% (10)

                 GoT character | # | Like 'Rennick'
                      'Bannen' | 1 | 28.6% (5)
                     'Drennan' | 2 | 28.6% (5)
                       'Grenn' | 3 | 28.6% (5)
                        'Jack' | 4 | 28.6% (5)
                     'Brienne' | 5 | 14.3% (6)
                       'Bronn' | 6 | 14.3% (6)
                      'Cersei' | 7 | 14.3% (6)
                       'Dongo' | 8 | 14.3% (6)

                 GoT character | # | Like 'Rhaegal'
                      'Rhaego' | 1 | 71.4% (2)
                      'Ramsay' | 2 | 42.9% (4)
                        'Shae' | 3 | 42.9% (4)
                       'Barra' | 4 | 28.6% (5)
                      'Doreah' | 5 | 28.6% (5)
                       'Ghita' | 6 | 28.6% (5)
                        'Kegs' | 7 | 28.6% (5)
                        'Leaf' | 8 | 28.6% (5)

                 GoT character | # | Like 'Rhaego'
                     'Rhaegal' | 1 | 71.4% (2)
                        'Mago' | 2 | 50.0% (3)
                        'Shae' | 3 | 50.0% (3)
                       'Dongo' | 4 | 33.3% (4)
                        'Iggo' | 5 | 33.3% (4)
                        'Kegs' | 6 | 33.3% (4)
                        'Mero' | 7 | 33.3% (4)
                       'Qhono' | 8 | 33.3% (4)

                 GoT character | # | Like 'Rickard Karstark'
       'Lord Rickard Karstark' | 1 | 76.2% (5)
          'Lady Alys Karstark' | 2 | 50.0% (9)
                  'Arya Stark' | 3 | 37.5% (10)
                  'Bran Stark' | 4 | 37.5% (10)
                'Dickon Tarly' | 5 | 37.5% (10)
               'Great Masters' | 6 | 37.5% (10)
                   'Ned Stark' | 7 | 37.5% (10)
                   'Rob Stark' | 8 | 37.5% (10)

                 GoT character | # | Like 'Riddell'
                      'Lowell' | 1 | 42.9% (4)
                       'Orell' | 2 | 42.9% (4)
                        'Will' | 3 | 42.9% (4)
                       'Billy' | 4 | 28.6% (5)
                       'Biter' | 5 | 28.6% (5)
                     'Rhaegal' | 6 | 28.6% (5)
                      'Rhaego' | 7 | 28.6% (5)
                       'Rorge' | 8 | 28.6% (5)

                 GoT character | # | Like 'Rob Stark'
                  'Robb Stark' | 1 | 90.0% (1)
                   'Ned Stark' | 2 | 66.7% (3)
                  'Arya Stark' | 3 | 60.0% (4)
                  'Bran Stark' | 4 | 60.0% (4)
                 'Sansa Stark' | 5 | 54.5% (5)
                'Benjen Stark' | 6 | 50.0% (6)
                    'Jon Snow' | 7 | 33.3% (6)
             'King Robb Stark' | 8 | 60.0% (6)

                 GoT character | # | Like 'Robar Royce'
                'Waymar Royce' | 1 | 66.7% (4)
                   'Rob Stark' | 2 | 36.4% (7)
                  'Robb Stark' | 3 | 36.4% (7)
                       'Rorge' | 4 | 36.4% (7)
                  'Amory Loch' | 5 | 27.3% (8)
                'Arthur Dayne' | 6 | 33.3% (8)
                 'Brother Ray' | 7 | 27.3% (8)
                       'Gordy' | 8 | 27.3% (8)

                 GoT character | # | Like 'Robb Stark'
                   'Rob Stark' | 1 | 90.0% (1)
                  'Arya Stark' | 2 | 60.0% (4)
                  'Bran Stark' | 3 | 60.0% (4)
                   'Ned Stark' | 4 | 60.0% (4)
             'King Robb Stark' | 5 | 66.7% (5)
                 'Sansa Stark' | 6 | 54.5% (5)
                'Benjen Stark' | 7 | 50.0% (6)
                       'Borba' | 8 | 30.0% (7)

                 GoT character | # | Like 'Roose Bolton'
               'Ramsay Bolton' | 1 | 69.2% (4)
           'Lord Roose Bolton' | 2 | 70.6% (5)
               'Jorah Mormont' | 3 | 38.5% (8)
                'Master Eaton' | 4 | 33.3% (8)
                 'Robar Royce' | 5 | 33.3% (8)
                    'Viserion' | 6 | 33.3% (8)
                  'Amory Loch' | 7 | 25.0% (9)
                  'Areo Hotah' | 8 | 25.0% (9)

                 GoT character | # | Like 'Rorge'
                       'Borba' | 1 | 40.0% (3)
                       'Dongo' | 2 | 40.0% (3)
                       'Gordy' | 3 | 40.0% (3)
                       'Locke' | 4 | 40.0% (3)
                      'Lorren' | 5 | 50.0% (3)
                      'Morgan' | 6 | 50.0% (3)
                        'Nora' | 7 | 40.0% (3)
                         'Ros' | 8 | 40.0% (3)

                 GoT character | # | Like 'Ros'
                        'Rast' | 1 | 50.0% (2)
                         'Tom' | 2 | 33.3% (2)
                       'Ghost' | 3 | 40.0% (3)
                        'Kegs' | 4 | 25.0% (3)
                         'Lem' | 5 |  0.0% (3)
                        'Nora' | 6 | 25.0% (3)
                       'Rorge' | 7 | 40.0% (3)
                         'Wyl' | 8 |  0.0% (3)

                 GoT character | # | Like 'Sally'
                       'Billy' | 1 | 60.0% (2)
                       'Mully' | 2 | 60.0% (2)
                        'Olly' | 3 | 60.0% (2)
                       'Varly' | 4 | 60.0% (2)
                       'Zalla' | 5 | 60.0% (2)
                        'Lady' | 6 | 40.0% (3)
                       'Tansy' | 7 | 40.0% (3)
                      'Wallen' | 8 | 50.0% (3)

                 GoT character | # | Like 'Samwell Tarly'
                'Dickon Tarly' | 1 | 46.2% (7)
                'Hoster Tully' | 2 | 38.5% (8)
                       'Sally' | 3 | 38.5% (8)
                 'Walder Frey' | 4 | 38.5% (8)
               'Catelyn Stark' | 5 | 30.8% (9)
                 'Donnel Hill' | 6 | 30.8% (9)
                 'Karl Tanner' | 7 | 30.8% (9)
                      'Lowell' | 8 | 30.8% (9)

                 GoT character | # | Like 'Sandor Clegane'
              'Gregor Clegane' | 1 | 71.4% (4)
                  'Lady Crane' | 2 | 50.0% (7)
          'Ser Gregor Clegane' | 3 | 61.1% (7)
                 'Janos Slynt' | 4 | 42.9% (8)
                 'Lady Cerwyn' | 5 | 35.7% (9)
            'Maester Caleotte' | 6 | 43.8% (9)
              'Master Cressen' | 7 | 35.7% (9)
                      'Morgan' | 8 | 35.7% (9)

                 GoT character | # | Like 'Sansa Stark'
                  'Arya Stark' | 1 | 63.6% (4)
                  'Bran Stark' | 2 | 63.6% (4)
                'Benjen Stark' | 3 | 58.3% (5)
                   'Ned Stark' | 4 | 54.5% (5)
                   'Rob Stark' | 5 | 54.5% (5)
                  'Robb Stark' | 6 | 54.5% (5)
               'Catelyn Stark' | 7 | 53.8% (6)
                 'Janos Slynt' | 8 | 36.4% (7)

                 GoT character | # | Like 'Septa Unella'
                  'Meera Reed' | 1 | 33.3% (8)
               'Olenna Tyrell' | 2 | 38.5% (8)
                       'Sally' | 3 | 33.3% (8)
                   'Stableboy' | 4 | 33.3% (8)
                       'Zalla' | 5 | 33.3% (8)
                      'Bannen' | 6 | 25.0% (9)
                  'Bernadette' | 7 | 25.0% (9)
                'Hoster Tully' | 8 | 25.0% (9)

                 GoT character | # | Like 'Ser Alliser Thorne'
              'Alliser Thorne' | 1 | 77.8% (4)
             'Ser Willis Wode' | 2 | 55.6% (8)
            'Ser Arthur Dayne' | 3 | 50.0% (9)
             'Ser Amory Lorch' | 4 | 44.4% (10)
           'Ser Axell Florent' | 5 | 44.4% (10)
            'Ser Boros Blount' | 6 | 44.4% (10)
              'Ser Ilyn Payne' | 7 | 44.4% (10)
            'Ser Mandon Moore' | 8 | 44.4% (10)

                 GoT character | # | Like 'Ser Alton Lannister'
         'Ser Kevan Lannister' | 1 | 78.9% (4)
            'Martyn Lannister' | 2 | 68.4% (6)
        'Ser Lancel Lannister' | 3 | 70.0% (6)
            'Tyrion Lannister' | 4 | 68.4% (6)
        'Lord Tywin Lannister' | 5 | 65.0% (7)
            'Lancel Lannister' | 6 | 57.9% (8)
          'Stafford Lannister' | 7 | 57.9% (8)
            'Willem Lannister' | 8 | 57.9% (8)

                 GoT character | # | Like 'Ser Amory Lorch'
                  'Amory Loch' | 1 | 66.7% (5)
           'Ser Axell Florent' | 2 | 47.1% (9)
            'Ser Boros Blount' | 3 | 43.8% (9)
           'Ser Jorah Mormont' | 4 | 47.1% (9)
            'Ser Loras Tyrell' | 5 | 43.8% (9)
             'Ser Meryn Trant' | 6 | 40.0% (9)
                 'Syrio Forel' | 7 | 40.0% (9)
                  'Areo Hotah' | 8 | 33.3% (10)

                 GoT character | # | Like 'Ser Arthur Dayne'
                'Arthur Dayne' | 1 | 75.0% (4)
              'Ser Ilyn Payne' | 2 | 56.2% (7)
                 'Brother Ray' | 3 | 43.8% (9)
          'Ser Alliser Thorne' | 4 | 50.0% (9)
          'Ser Gregor Clegane' | 5 | 50.0% (9)
               'Podrick Payne' | 6 | 37.5% (10)
         'Ser Alton Lannister' | 7 | 47.4% (10)
             'Ser Amory Lorch' | 8 | 37.5% (10)

                 GoT character | # | Like 'Ser Arys Oakheart'
              'Ser Ilyn Payne' | 1 | 47.1% (9)
             'Ser Meryn Trant' | 2 | 47.1% (9)
          'Lady Alys Karstark' | 3 | 44.4% (10)
            'Ser Arthur Dayne' | 4 | 41.2% (10)
           'Ser Axell Florent' | 5 | 41.2% (10)
            'Ser Boros Blount' | 6 | 41.2% (10)
            'Ser Loras Tyrell' | 7 | 41.2% (10)
                  'Arya Stark' | 8 | 35.3% (11)

                 GoT character | # | Like 'Ser Axell Florent'
            'Ser Boros Blount' | 1 | 52.9% (8)
             'Ser Amory Lorch' | 2 | 47.1% (9)
           'Ser Jorah Mormont' | 3 | 47.1% (9)
             'Ser Meryn Trant' | 4 | 47.1% (9)
          'Ser Alliser Thorne' | 5 | 44.4% (10)
           'Ser Arys Oakheart' | 6 | 41.2% (10)
          'Ser Gregor Clegane' | 7 | 44.4% (10)
            'Ser Loras Tyrell' | 8 | 41.2% (10)

                 GoT character | # | Like 'Ser Balon Swann'
              'Ser Ilyn Payne' | 1 | 53.3% (7)
             'Ser Meryn Trant' | 2 | 53.3% (7)
            'Ser Boros Blount' | 3 | 50.0% (8)
            'Ser Mandon Moore' | 4 | 50.0% (8)
                  'Bolton Son' | 5 | 40.0% (9)
                  'Bran Stark' | 6 | 40.0% (9)
            'Lord Janos Slynt' | 7 | 43.8% (9)
                 'Meryn Trant' | 8 | 40.0% (9)

                 GoT character | # | Like 'Ser Barristan Selmy'
           'Ser Brynden Tully' | 1 | 52.6% (9)
             'Ser Balon Swann' | 2 | 47.4% (10)
             'Ser Vardis Egen' | 3 | 47.4% (10)
            'Ser Loras Tyrell' | 4 | 42.1% (11)
           'Ser Rodrik Cassel' | 5 | 42.1% (11)
           'Ser Arys Oakheart' | 6 | 36.8% (12)
            'Ser Boros Blount' | 7 | 36.8% (12)
            'Ser Mandon Moore' | 8 | 36.8% (12)

                 GoT character | # | Like 'Ser Boros Blount'
           'Ser Axell Florent' | 1 | 52.9% (8)
             'Ser Balon Swann' | 2 | 50.0% (8)
           'Ser Jorah Mormont' | 3 | 52.9% (8)
            'Ser Loras Tyrell' | 4 | 50.0% (8)
             'Ser Meryn Trant' | 5 | 50.0% (8)
            'Lord Janos Slynt' | 6 | 43.8% (9)
             'Ser Amory Lorch' | 7 | 43.8% (9)
          'Ser Dontos Hollard' | 8 | 50.0% (9)

                 GoT character | # | Like 'Ser Brynden Tully'
         'Ser Barristan Selmy' | 1 | 52.6% (9)
            'Ser Mandon Moore' | 2 | 47.1% (9)
             'Ser Meryn Trant' | 3 | 47.1% (9)
                'Hoster Tully' | 4 | 41.2% (10)
             'Ser Balon Swann' | 5 | 41.2% (10)
              'Ser Ilyn Payne' | 6 | 41.2% (10)
                 'Meryn Trant' | 7 | 35.3% (11)
                'Septa Unella' | 8 | 35.3% (11)

                 GoT character | # | Like 'Ser Dontos Hollard'
            'Ser Boros Blount' | 1 | 50.0% (9)
            'Ser Mandon Moore' | 2 | 50.0% (9)
                 'Donnel Hill' | 3 | 38.9% (11)
           'Ser Arys Oakheart' | 4 | 38.9% (11)
             'Ser Balon Swann' | 5 | 38.9% (11)
           'Ser Brynden Tully' | 6 | 38.9% (11)
          'Ser Gregor Clegane' | 7 | 38.9% (11)
           'Ser Jorah Mormont' | 8 | 38.9% (11)

                 GoT character | # | Like 'Ser Gerold Hightower'
         'Ser Alton Lannister' | 1 | 40.0% (12)
            'Ser Boros Blount' | 2 | 40.0% (12)
          'Ser Gregor Clegane' | 3 | 40.0% (12)
        'Ser Jaremy Mallister' | 4 | 40.0% (12)
         'Ser Kevan Lannister' | 5 | 40.0% (12)
             'Ser Meryn Trant' | 6 | 40.0% (12)
             'Ser Vardis Egen' | 7 | 40.0% (12)
             'Ser Willis Wode' | 8 | 40.0% (12)

                 GoT character | # | Like 'Ser Gregor Clegane'
              'Gregor Clegane' | 1 | 77.8% (4)
              'Sandor Clegane' | 2 | 61.1% (7)
            'Ser Arthur Dayne' | 3 | 50.0% (9)
           'Ser Axell Florent' | 4 | 44.4% (10)
             'Ser Balon Swann' | 5 | 44.4% (10)
            'Ser Boros Blount' | 6 | 44.4% (10)
             'Ser Meryn Trant' | 7 | 44.4% (10)
          'Ser Alliser Thorne' | 8 | 38.9% (11)

                 GoT character | # | Like 'Ser Hugh of the Vale'
          'Ser Gregor Clegane' | 1 | 45.0% (11)
           'Ser Arys Oakheart' | 2 | 40.0% (12)
              'Gregor Clegane' | 3 | 35.0% (13)
          'Ser Alliser Thorne' | 4 | 35.0% (13)
            'Ser Arthur Dayne' | 5 | 35.0% (13)
             'Ser Balon Swann' | 6 | 35.0% (13)
          'Ser Dontos Hollard' | 7 | 35.0% (13)
            'Ser Mandon Moore' | 8 | 35.0% (13)

                 GoT character | # | Like 'Ser Ilyn Payne'
            'Ser Arthur Dayne' | 1 | 56.2% (7)
             'Ser Balon Swann' | 2 | 53.3% (7)
             'Ser Meryn Trant' | 3 | 53.3% (7)
                'Arthur Dayne' | 4 | 42.9% (8)
                 'Meryn Trant' | 5 | 42.9% (8)
               'Podrick Payne' | 6 | 42.9% (8)
                 'Karl Tanner' | 7 | 35.7% (9)
         'Ser Alton Lannister' | 8 | 52.6% (9)

                 GoT character | # | Like 'Ser Jaremy Mallister'
        'Ser Lancel Lannister' | 1 | 60.0% (8)
         'Ser Alton Lannister' | 2 | 55.0% (9)
         'Ser Kevan Lannister' | 3 | 55.0% (9)
             'Jaime Lannister' | 4 | 50.0% (10)
            'Martyn Lannister' | 5 | 45.0% (11)
           'Ser Jorah Mormont' | 6 | 45.0% (11)
          'Stafford Lannister' | 7 | 45.0% (11)
            'Willem Lannister' | 8 | 45.0% (11)

                 GoT character | # | Like 'Ser Jorah Mormont'
               'Jorah Mormont' | 1 | 76.5% (4)
            'Ser Boros Blount' | 2 | 52.9% (8)
            'Ser Loras Tyrell' | 3 | 52.9% (8)
             'Ser Meryn Trant' | 4 | 52.9% (8)
             'Ser Amory Lorch' | 5 | 47.1% (9)
           'Ser Axell Florent' | 6 | 47.1% (9)
         'Lady Lyanna Mormont' | 7 | 47.4% (10)
            'Ser Arthur Dayne' | 8 | 41.2% (10)

                 GoT character | # | Like 'Ser Kevan Lannister'
         'Ser Alton Lannister' | 1 | 78.9% (4)
        'Ser Lancel Lannister' | 2 | 70.0% (6)
        'Lord Tywin Lannister' | 3 | 65.0% (7)
            'Martyn Lannister' | 4 | 63.2% (7)
            'Tyrion Lannister' | 5 | 63.2% (7)
             'Jaime Lannister' | 6 | 57.9% (8)
            'Lancel Lannister' | 7 | 57.9% (8)
          'Stafford Lannister' | 8 | 57.9% (8)

                 GoT character | # | Like 'Ser Lancel Lannister'
            'Lancel Lannister' | 1 | 80.0% (4)
         'Ser Alton Lannister' | 2 | 70.0% (6)
         'Ser Kevan Lannister' | 3 | 70.0% (6)
             'Jaime Lannister' | 4 | 60.0% (8)
            'Martyn Lannister' | 5 | 60.0% (8)
        'Ser Jaremy Mallister' | 6 | 60.0% (8)
            'Tyrion Lannister' | 7 | 60.0% (8)
        'Lord Tywin Lannister' | 8 | 55.0% (9)

                 GoT character | # | Like 'Ser Loras Tyrell'
            'Lord Mace Tyrell' | 1 | 50.0% (8)
               'Olenna Tyrell' | 2 | 50.0% (8)
            'Ser Boros Blount' | 3 | 50.0% (8)
           'Ser Jorah Mormont' | 4 | 52.9% (8)
             'Ser Meryn Trant' | 5 | 50.0% (8)
             'Ser Amory Lorch' | 6 | 43.8% (9)
           'Ser Rodrik Cassel' | 7 | 47.1% (9)
             'Ser Vardis Egen' | 8 | 43.8% (9)

                 GoT character | # | Like 'Ser Mandon Moore'
             'Ser Balon Swann' | 1 | 50.0% (8)
           'Ser Brynden Tully' | 2 | 47.1% (9)
          'Ser Dontos Hollard' | 3 | 50.0% (9)
              'Ser Ilyn Payne' | 4 | 43.8% (9)
             'Ser Meryn Trant' | 5 | 43.8% (9)
             'Ser Vardis Egen' | 6 | 43.8% (9)
             'Ser Willis Wode' | 7 | 43.8% (9)
                 'Vayon Poole' | 8 | 43.8% (9)

                 GoT character | # | Like 'Ser Meryn Trant'
                 'Meryn Trant' | 1 | 73.3% (4)
             'Ser Balon Swann' | 2 | 53.3% (7)
              'Ser Ilyn Payne' | 3 | 53.3% (7)
            'Ser Boros Blount' | 4 | 50.0% (8)
           'Ser Jorah Mormont' | 5 | 52.9% (8)
            'Ser Loras Tyrell' | 6 | 50.0% (8)
             'Ser Amory Lorch' | 7 | 40.0% (9)
           'Ser Arys Oakheart' | 8 | 47.1% (9)

                 GoT character | # | Like 'Ser Osmund Kettleblack'
        'Ser Hugh of the Vale' | 1 | 40.9% (13)
           'Ser Brynden Tully' | 2 | 36.4% (14)
          'Ser Dontos Hollard' | 3 | 36.4% (14)
          'Ser Gregor Clegane' | 4 | 36.4% (14)
                  'Bernadette' | 5 | 31.8% (15)
              'Lem Lemoncloak' | 6 | 31.8% (15)
                'Septa Unella' | 7 | 31.8% (15)
             'Ser Amory Lorch' | 8 | 31.8% (15)

                 GoT character | # | Like 'Ser Preston Greenfield'
          'Ser Gregor Clegane' | 1 | 45.5% (12)
         'Ser Alton Lannister' | 2 | 40.9% (13)
             'Ser Meryn Trant' | 3 | 40.9% (13)
          'Lord Theon Greyjoy' | 4 | 36.4% (14)
            'Ser Arthur Dayne' | 5 | 36.4% (14)
           'Ser Axell Florent' | 6 | 36.4% (14)
             'Ser Balon Swann' | 7 | 36.4% (14)
         'Ser Barristan Selmy' | 8 | 36.4% (14)

                 GoT character | # | Like 'Ser Rodrik Cassel'
                 'Jory Cassel' | 1 | 52.9% (8)
            'Ser Loras Tyrell' | 2 | 47.1% (9)
               'Podrick Payne' | 3 | 41.2% (10)
            'Ser Arthur Dayne' | 4 | 41.2% (10)
            'Ser Boros Blount' | 5 | 41.2% (10)
              'Ser Ilyn Payne' | 6 | 41.2% (10)
             'Ser Vardis Egen' | 7 | 41.2% (10)
             'Ser Willis Wode' | 8 | 41.2% (10)

                 GoT character | # | Like 'Ser Vardis Egen'
             'Ser Willis Wode' | 1 | 46.7% (8)
             'Ser Balon Swann' | 2 | 40.0% (9)
            'Ser Boros Blount' | 3 | 43.8% (9)
            'Ser Loras Tyrell' | 4 | 43.8% (9)
            'Ser Mandon Moore' | 5 | 43.8% (9)
             'Ser Meryn Trant' | 6 | 40.0% (9)
                  'Bernadette' | 7 | 33.3% (10)
            'Lord Walder Frey' | 8 | 37.5% (10)

                 GoT character | # | Like 'Ser Willis Wode'
          'Ser Alliser Thorne' | 1 | 55.6% (8)
             'Ser Vardis Egen' | 2 | 46.7% (8)
              'Ser Ilyn Payne' | 3 | 40.0% (9)
            'Ser Mandon Moore' | 4 | 43.8% (9)
                  'Melisandre' | 5 | 33.3% (10)
             'Ser Amory Lorch' | 6 | 33.3% (10)
            'Ser Arthur Dayne' | 7 | 37.5% (10)
           'Ser Axell Florent' | 8 | 41.2% (10)

                 GoT character | # | Like 'Several Frey Soldiers'
              'Stark Soldiers' | 1 | 57.1% (9)
             'Bolton Soldiers' | 2 | 47.6% (11)
          'Lannister Soldiers' | 3 | 47.6% (11)
               'Jafer Flowers' | 4 | 38.1% (13)
        'Ser Jaremy Mallister' | 5 | 38.1% (13)
                  'Meera Reed' | 6 | 33.3% (14)
             'Ser Amory Lorch' | 7 | 33.3% (14)
           'Ser Arys Oakheart' | 8 | 33.3% (14)

                 GoT character | # | Like 'Shae'
                        'Leaf' | 1 | 25.0% (3)
                        'Osha' | 2 | 25.0% (3)
                      'Rhaego' | 3 | 50.0% (3)
                       'Steve' | 4 | 40.0% (3)
                        'Stiv' | 5 | 25.0% (3)
                        'Styr' | 6 | 25.0% (3)
                        'Akho' | 7 |  0.0% (4)
                       'Biter' | 8 | 20.0% (4)

                 GoT character | # | Like 'Shaggydog'
                      'Rhaego' | 1 | 44.4% (5)
                        'Iggo' | 2 | 33.3% (6)
                  'Khal Drogo' | 3 | 40.0% (6)
                        'Mago' | 4 | 33.3% (6)
                     'Rhaegal' | 5 | 33.3% (6)
                       'Sally' | 6 | 33.3% (6)
                        'Shae' | 7 | 33.3% (6)
                   'Stableboy' | 8 | 33.3% (6)

                 GoT character | # | Like 'Simpson'
                      'Drogon' | 1 | 28.6% (5)
                      'Guymon' | 2 | 28.6% (5)
                      'Ramsay' | 3 | 28.6% (5)
                      'Smitty' | 4 | 28.6% (5)
                      'Summer' | 5 | 28.6% (5)
                    'Viserion' | 6 | 37.5% (5)
                        'Akho' | 7 | 14.3% (6)
                      'Bannen' | 8 | 14.3% (6)

                 GoT character | # | Like 'Smitty'
                       'Billy' | 1 | 33.3% (4)
                       'Biter' | 2 | 33.3% (4)
                       'Ghita' | 3 | 33.3% (4)
                       'Sally' | 4 | 33.3% (4)
                        'Stiv' | 5 | 33.3% (4)
                        'Styr' | 6 | 33.3% (4)
                     'Ygritte' | 7 | 42.9% (4)
                       'Ghost' | 8 | 16.7% (5)

                 GoT character | # | Like 'Stableboy'
                       'Sally' | 1 | 44.4% (5)
                      'Rhaego' | 2 | 33.3% (6)
                        'Shae' | 3 | 33.3% (6)
                   'Shaggydog' | 4 | 33.3% (6)
                       'Steve' | 5 | 33.3% (6)
                       'Varly' | 6 | 33.3% (6)
                      'Wallen' | 7 | 33.3% (6)
                      'Bannen' | 8 | 22.2% (7)

                 GoT character | # | Like 'Stafford Lannister'
             'Jaime Lannister' | 1 | 61.1% (7)
            'Lancel Lannister' | 2 | 61.1% (7)
            'Martyn Lannister' | 3 | 61.1% (7)
